Sample_ID	Mean Coverage (Raw)	% Duplication	Est Lib Size	Total ng cfDNA Input	Sequencing Institution	Sequencer
9-Broad-BDS-522632-RJ	1.17	16.4	66574262	17.5	Broad Genomics Platform	Novaseq S4
U01-DLBCL-26-01-T-RVKPT-D0	0.2	29.9	9410127	6.5	Broad Genomics Platform	Novaseq S4
U01-DLBCL-26-01-T-RVKPT-D21	0.18	30.9	8203235	6	Broad Genomics Platform	Novaseq S4
U01-DLBCL-26-01-T-RVKPT-D7	0.2	30.1	10458374	5.5	Broad Genomics Platform	Novaseq S4
U01-DLBCL-26-01-T-RVKPT-Pre-Relapse	0.42	25.3	34997736	3.5	Broad Genomics Platform	Novaseq S4
U01-DLBCL-26-01-T-RVKPT-Relapse	0.53	22.3	41909123	4	Broad Genomics Platform	Novaseq S4
U01-DLBCL-27-02-T-RVKPT-D0	0.26	15.3	31486607	22.5	Broad Genomics Platform	Novaseq S4
U01-DLBCL-27-02-T-RVKPT-D14	0.23	15.2	26756111	6.5	Broad Genomics Platform	Novaseq S4
U01-DLBCL-27-02-T-RVKPT-D21	0.27	18.2	23851525	4.5	Broad Genomics Platform	Novaseq S4
U01-DLBCL-27-02-T-RVKPT-Pre-Relapse	0.18	30.1	7581386	7	Broad Genomics Platform	Novaseq S4
U01-DLBCL-27-02-T-RVKPT-Relapse	0.23	31.5	9612027	6	Broad Genomics Platform	Novaseq S4
U01-DLBCL-28-05-T-RVKPT-D0	0.24	30.4	10796094	43	Broad Genomics Platform	Novaseq S4
U01-DLBCL-28-05-T-RVKPT-D7	0.24	14.8	31207234	21.5	Broad Genomics Platform	Novaseq S4
U01-DLBCL-28-05-T-RVKPT-Relapse	0.24	14.9	28332125	10.5	Broad Genomics Platform	Novaseq S4
U01-DLBCL-29-04-T-RVKPT-D0	0.31	14.3	44615260	50	Broad Genomics Platform	Novaseq S4
U01-DLBCL-29-04-T-RVKPT-D7	0.07	31.5	2822047	33.5	Broad Genomics Platform	Novaseq S4
U01-DLBCL-29-04-T-RVKPT-Relapse	0.28	31.1	11354387	41	Broad Genomics Platform	Novaseq S4
U01-DLBCL-30-03-T-RVKPT-D0	0.19	30.4	8535585	8.5	Broad Genomics Platform	Novaseq S4
U01-DLBCL-30-03-T-RVKPT-D21	0.25	18.4	23846079	3.5	Broad Genomics Platform	Novaseq S4
U01-DLBCL-30-03-T-RVKPT-D7	0.3	16.7	31945694	3.5	Broad Genomics Platform	Novaseq S4
U01-DLBCL-30-03-T-RVKPT-Pre-Relapse	0.29	15.6	31449583	6.5	Broad Genomics Platform	Novaseq S4
U01-DLBCL-30-03-T-RVKPT-Relapse	0.27	16.5	31115127	11.5	Broad Genomics Platform	Novaseq S4
U01-DLBCL-31-10-T-RVKPT-D0	0.24	29.1	13547372	55	Broad Genomics Platform	Novaseq S4
U01-DLBCL-31-10-T-RVKPT-D21	0.1	14.4	12886619	8.5	Broad Genomics Platform	Novaseq S4
U01-DLBCL-31-10-T-RVKPT-D7	0.3	15.2	41786316	4.5	Broad Genomics Platform	Novaseq S4
U01-DLBCL-32-07-T-RVKPT-D0	0.27	29.1	12540748	50	Broad Genomics Platform	Novaseq S4
U01-DLBCL-32-07-T-RVKPT-D21	0.29	16.6	32696025	5	Broad Genomics Platform	Novaseq S4
U01-DLBCL-32-07-T-RVKPT-D7	0.22	15.8	26957620	6	Broad Genomics Platform	Novaseq S4
U01-DLBCL-32-07-T-RVKPT-Pre-Relapse	0.26	14.9	32275415	23	Broad Genomics Platform	Novaseq S4
U01-DLBCL-32-07-T-RVKPT-Relapse	0.37	15.3	52300717	50	Broad Genomics Platform	Novaseq S4
U01-DLBCL-33-06-T-RVKPT-D0	0.36	15.4	50206005	50	Broad Genomics Platform	Novaseq S4
U01-DLBCL-33-06-T-RVKPT-D21	0.3	16.7	28853076	6.5	Broad Genomics Platform	Novaseq S4
U01-DLBCL-33-06-T-RVKPT-D7	0.26	15.6	27288501	6.5	Broad Genomics Platform	Novaseq S4
U01-DLBCL-33-06-T-RVKPT-Pre-Relapse	0.07	30.5	3251253	14	Broad Genomics Platform	Novaseq S4
U01-DLBCL-33-06-T-RVKPT-Relapse	0.23	32.2	9767322	27.5	Broad Genomics Platform	Novaseq S4
U01-DLBCL-34-12-T-RVKPT-D0	0.58	20.3	42892610	35.5	Broad Genomics Platform	HiSeqX
U01-DLBCL-34-12-T-RVKPT-D21	0.49	19.6	35227314	7	Broad Genomics Platform	HiSeqX
U01-DLBCL-34-12-T-RVKPT-D7	0.53	20.7	36314577	7	Broad Genomics Platform	HiSeqX
U01-DLBCL-34-12-T-RVKPT-Relapse	0.36	18.2	30637171	23	Broad Genomics Platform	HiSeqX
U01-DLBCL-35-13-T-RVKPT-D0	0.31	15.2	40250696	34	Broad Genomics Platform	Novaseq S4
U01-DLBCL-35-13-T-RVKPT-D21	0.28	14.8	29930807	9	Broad Genomics Platform	Novaseq S4
U01-DLBCL-35-13-T-RVKPT-D7	0.31	17.1	31149943	2.5	Broad Genomics Platform	Novaseq S4
U01-DLBCL-35-13-T-RVKPT-Pre-Relapse	0.27	15.3	30805051	6	Broad Genomics Platform	Novaseq S4
U01-DLBCL-35-13-T-RVKPT-Relapse	0.92	18.2	54862271	9	Broad Genomics Platform	Novaseq S4
U01-DLBCL-35-13-T-RVKPT-Relapse	0.92	19.4	28726862	9	Broad Genomics Platform	Novaseq S4
U01-DLBCL-36-08-T-RVKPT-D0	0.37	15.6	47736956	50	Broad Genomics Platform	Novaseq S4
U01-DLBCL-36-08-T-RVKPT-D21	0.21	32.2	8331687	6	Broad Genomics Platform	Novaseq S4
U01-DLBCL-36-08-T-RVKPT-D7	0.11	30.4	4818207	7	Broad Genomics Platform	Novaseq S4
U01-DLBCL-36-08-T-RVKPT-Pre-Relapse	0.28	17.7	26483985	2.5	Broad Genomics Platform	Novaseq S4
U01-DLBCL-36-08-T-RVKPT-Relapse	0.27	14.3	35044092	30.5	Broad Genomics Platform	Novaseq S4
U01-DLBCL-37-14-T-RVKPT-D0	0.47	17.9	38919725	11	Broad Genomics Platform	HiSeqX
U01-DLBCL-37-14-T-RVKPT-D21	0.47	19.9	33075209	6.5	Broad Genomics Platform	HiSeqX
U01-DLBCL-37-14-T-RVKPT-D7	1.16	20.3	78247652	3	Broad Genomics Platform	HiSeqX
U01-DLBCL-37-14-T-RVKPT-Pre-Relapse	0.49	19.3	36407315	6.5	Broad Genomics Platform	HiSeqX
U01-DLBCL-37-14-T-RVKPT-Relapse	0.52	18.1	42824968	5.5	Broad Genomics Platform	HiSeqX
U01-DLBCL-38-09-T-RVKPT-D0	0.32	14.8	43562071	35	Broad Genomics Platform	Novaseq S4
U01-DLBCL-38-09-T-RVKPT-D21	0.25	15.7	25534722	8.5	Broad Genomics Platform	Novaseq S4
U01-DLBCL-38-09-T-RVKPT-D7	0.28	16.2	30681762	5.5	Broad Genomics Platform	Novaseq S4
U01-DLBCL-38-09-T-RVKPT-Pre-Relapse	0.3	15	37349650	12.5	Broad Genomics Platform	Novaseq S4
U01-DLBCL-38-09-T-RVKPT-Relapse	0.05	28.5	2216899	52	Broad Genomics Platform	Novaseq S4
U01-DLBCL-39-01-T-DOXTAK-D0	0.51	18.9	43110988	12.5	Broad Genomics Platform	HiSeqX
U01-DLBCL-39-01-T-DOXTAK-D21	0.43	18.2	36024806	7.5	Broad Genomics Platform	HiSeqX
U01-DLBCL-39-01-T-DOXTAK-D7	0.43	17.7	38577812	7.5	Broad Genomics Platform	HiSeqX
U01-DLBCL-39-01-T-DOXTAK-Pre-Relapse	0.54	21.2	36190293	9	Broad Genomics Platform	HiSeqX
U01-DLBCL-39-01-T-DOXTAK-Relapse	0.48	18	42307761	14	Broad Genomics Platform	HiSeqX
U01-DLBCL-40-03-T-DOXTAK-D0	0.66	18.3	53611799	46	Broad Genomics Platform	HiSeqX
U01-DLBCL-40-03-T-DOXTAK-D21	0.5	17.8	41570921	7	Broad Genomics Platform	HiSeqX
U01-DLBCL-40-03-T-DOXTAK-D7	0.21	18.2	17130705	19.5	Broad Genomics Platform	HiSeqX
U01-DLBCL-41-02-T-DOXTAK-D0	0.65	16.8	58841753	45	Broad Genomics Platform	HiSeqX
U01-DLBCL-41-02-T-DOXTAK-D21	0.48	18.6	37300724	6.5	Broad Genomics Platform	HiSeqX
U01-DLBCL-41-02-T-DOXTAK-D7	0.4	19.7	29599910	29	Broad Genomics Platform	HiSeqX
U01-DLBCL-41-02-T-DOXTAK-Pre-Relapse	0.45	20.4	30874755	9.5	Broad Genomics Platform	HiSeqX
U01-DLBCL-41-02-T-DOXTAK-Relapse	0.47	19.3	35001812	13	Broad Genomics Platform	HiSeqX
U01-DLBCL-42-04-T-DOXTAK-D0	0.53	17.7	45602070	40.5	Broad Genomics Platform	HiSeqX
U01-DLBCL-42-04-T-DOXTAK-D21	0.29	19.2	21801644	7	Broad Genomics Platform	HiSeqX
U01-DLBCL-42-04-T-DOXTAK-D7	0.39	17.6	33191107	30	Broad Genomics Platform	HiSeqX
U01-DLBCL-42-04-T-DOXTAK-Pre-Relapse	0.41	16.5	38804374	23.5	Broad Genomics Platform	HiSeqX
U01-DLBCL-42-04-T-DOXTAK-Relapse	0.45	16.4	44010311	27.5	Broad Genomics Platform	HiSeqX
U01-DLBCL-43-06-T-DOXTAK-D0	0.47	20.4	32571155	14.5	Broad Genomics Platform	HiSeqX
U01-DLBCL-43-06-T-DOXTAK-D21	0.23	18.5	18212710	9	Broad Genomics Platform	HiSeqX
U01-DLBCL-43-06-T-DOXTAK-D7	0.44	17.8	37732971	4	Broad Genomics Platform	HiSeqX
U01-DLBCL-43-06-T-DOXTAK-Pre-Relapse	0.41	20	29035736	22	Broad Genomics Platform	HiSeqX
U01-DLBCL-43-06-T-DOXTAK-Relapse	0.4	19.7	29087735	14	Broad Genomics Platform	HiSeqX
U01-DLBCL-44-05-T-DOXTAK-D0	0.37	17.8	33715495	22.5	Broad Genomics Platform	HiSeqX
U01-DLBCL-44-05-T-DOXTAK-D21	0.42	20.1	30041658	10	Broad Genomics Platform	HiSeqX
U01-DLBCL-44-05-T-DOXTAK-D7	0.51	17.7	41010392	5	Broad Genomics Platform	HiSeqX
U01-DLBCL-44-05-T-DOXTAK-Pre-Relapse	0.65	19.4	47904775	7	Broad Genomics Platform	HiSeqX
U01-DLBCL-45-07-T-DOXTAK-D0	0.21	17.2	17793968	50	Broad Genomics Platform	HiSeqX
U01-DLBCL-45-07-T-DOXTAK-D7	0.51	18.4	41824216	11.5	Broad Genomics Platform	HiSeqX
U01-DLBCL-45-07-T-DOXTAK-Relapse	1.17	20.2	77908101	4.5	Broad Genomics Platform	HiSeqX
U01-DLBCL-46-08-T-DOXTAK-D0	0.79	19.4	57989998	50	Broad Genomics Platform	HiSeqX
U01-DLBCL-46-08-T-DOXTAK-D21	0.45	19.9	32900611	12	Broad Genomics Platform	HiSeqX
U01-DLBCL-46-08-T-DOXTAK-D7	0.53	17.9	45527687	7	Broad Genomics Platform	HiSeqX
U01-DLBCL-46-08-T-DOXTAK-Pre-Relapse	0.45	20.6	31905906	11	Broad Genomics Platform	HiSeqX
U01-DLBCL-46-08-T-DOXTAK-Relapse	0.39	19.4	29758802	44	Broad Genomics Platform	HiSeqX
U01-DLBCL-47-09-T-DOXTAK-D0	0.19	18.2	15410886	14	Broad Genomics Platform	HiSeqX
U01-DLBCL-47-09-T-DOXTAK-D21	0.51	18.7	38862982	6.5	Broad Genomics Platform	HiSeqX
U01-DLBCL-47-09-T-DOXTAK-D7	0.62	17.2	54471330	4.5	Broad Genomics Platform	HiSeqX
U01-DLBCL-47-09-T-DOXTAK-Pre-Relapse	0.45	18.3	35795480	10	Broad Genomics Platform	HiSeqX
U01-DLBCL-47-09-T-DOXTAK-Relapse	0.5	19.4	38161701	11.5	Broad Genomics Platform	HiSeqX
U01-DLBCL-48-10-T-DOXTAK-D0	0.58	17.5	50961866	40.5	Broad Genomics Platform	HiSeqX
U01-DLBCL-48-10-T-DOXTAK-D21	0.4	19.9	28821733	18.5	Broad Genomics Platform	HiSeqX
U01-DLBCL-48-10-T-DOXTAK-D7	0.49	20	35577652	10.5	Broad Genomics Platform	HiSeqX
U01-DLBCL-48-10-T-DOXTAK-Relapse	0.46	19	35079046	42.5	Broad Genomics Platform	HiSeqX
U01-DLBCL-49-11-T-DOXTAK-D0	0.66	18.2	52968964	41.5	Broad Genomics Platform	HiSeqX
U01-DLBCL-49-11-T-DOXTAK-D21	1.32	21.2	83236585	5	Broad Genomics Platform	HiSeqX
U01-DLBCL-49-11-T-DOXTAK-D7	0.55	20.7	38228906	6	Broad Genomics Platform	HiSeqX
U01-DLBCL-49-11-T-DOXTAK-Pre-Relapse	0.53	19.7	37777975	6	Broad Genomics Platform	HiSeqX
U01-DLBCL-49-11-T-DOXTAK-Relapse	0.48	19.7	34668463	10.5	Broad Genomics Platform	HiSeqX
WLOS_0001_Plasma_1	0.84	5	286.8M	5.9	Broad Genomics Platform	HiSeqX
WLOS_0002_Plasma_1	1.41	5.8	497.0M	11.8	Broad Genomics Platform	HiSeqX
WLOS_0003_Plasma_1	0.29	5.8	116973927	4.7	Broad Genomics Platform	HiSeqX
WLOS_0004_Plasma_1	0.4	7	143865155	4	Broad Genomics Platform	HiSeqX
WLOS_0005_Plasma_1	0.41	6.7	108246260	4.2	Broad Genomics Platform	HiSeqX
WLOS_0006_Plasma_1	1.15	5.6	373.0M	5.3	Broad Genomics Platform	HiSeqX
WLOS_0007_Plasma_1	0.38	5.2	205223511	9.1	Broad Genomics Platform	HiSeqX
WLOS_0008_Plasma_1	1.1	5.4	335.8M	6.5	Broad Genomics Platform	HiSeqX
WLOS_0009_Plasma_1	1.23	5.8	429.6M	6.2	Broad Genomics Platform	HiSeqX
WLOS_0010_Plasma_1	1.2	5.4	420.7M	7.5	Broad Genomics Platform	HiSeqX
WLOS_0011_Plasma_1	1.26	6	411.6M	5.7	Broad Genomics Platform	HiSeqX
WLOS_0012_Plasma_1	0.88	5.4	292.9M	6.1	Broad Genomics Platform	HiSeqX
WLOS_0013_Plasma_1	1.24	5.2	443.6M	6.5	Broad Genomics Platform	HiSeqX
WLOS_0014_Plasma_1	1.07	5.3	431.4M	11.8	Broad Genomics Platform	HiSeqX
WLOS_0015_Plasma_1	1.41	5.2	584.4M	7.5	Broad Genomics Platform	HiSeqX
WLOS_0016_Plasma_1	0.31	5.8	122944282	5.4	Broad Genomics Platform	HiSeqX
WLOS_0017_Plasma_1	1.3	5.6	480.7M	8.4	Broad Genomics Platform	HiSeqX
WLOS_0018_Plasma_1	0.45	5.5	199695909	3.9	Broad Genomics Platform	HiSeqX
WLOS_0019_Plasma_1	1.19	5.5	356.0M	5.3	Broad Genomics Platform	HiSeqX
WLOS_0020_Plasma_1	1.56	5.9	586.9M	15.1	Broad Genomics Platform	HiSeqX
WLOS_0021_Plasma_1	1.31	6	396.6M	6.9	Broad Genomics Platform	HiSeqX
WLOS_0022_Plasma_1	1.49	5.3	557.8M	9.8	Broad Genomics Platform	HiSeqX
WLOS_0023_Plasma_1	0.87	4.9	306.8M	5.3	Broad Genomics Platform	HiSeqX
WLOS_0024_Plasma_1	1.52	6.6	454.7M	6.3	Broad Genomics Platform	HiSeqX
T-OS-0042-cfDNA-10ng-WK4	0.016591	40%	510622	10	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0042-cfDNA-1ng-D0	0.08815	17%	5322704	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0042-cfDNA-1ng-WK2	0.038517	17%	2374059	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0042-cfDNA-1ng-WK4	0.054809	18%	2901039	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0042-cfDNA-1ng-WK8	0.115205	18%	6397941	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0042-cfDNA-2ng-WK8	0.020764	53%	531561	2	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0042-cfDNA-5ng-WK2	0.026375	17%	1500103	5	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0045-cfDNA-1ng-D0	0.015848	15%	6334048	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0045-cfDNA-1ng-WK16	0.053092	19%	2902993	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0045-cfDNA-1ng-WK2	0.063866	18%	3555921	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0045-cfDNA-1ng-WK20	0.042241	16%	2634483	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0045-cfDNA-1ng-WK4	0.043632	19%	2366632	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0045-cfDNA-1ng-WK8	0.053394	19%	2682292	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0045-cfDNA-2ng-WK2	0.044854	37%	1446294	2	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0045-cfDNA-4ng-D0	0.032525	25%	1336477	4	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0045-cfDNA-5ng-WK16	0.057455	19%	2979847	5	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0046-cfDNA-10ng-D0	0.032246	23%	1434115	10	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0046-cfDNA-1ng-D0	0.051071	17%	2846937	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0046-cfDNA-1ng-WK12	0.048348	19%	2578162	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0046-cfDNA-1ng-WK16	0.074564	17%	4392945	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0046-cfDNA-1ng-WK2	0.089448	18%	4561716	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0046-cfDNA-1ng-WK4	0.045377	20%	2428179	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0046-cfDNA-1ng-WK8	0.047951	17%	2696804	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0046-cfDNA-5ng-WK4	0.050815	18%	2562170	5	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0047-cfDNA-1ng-D0	0.035123	19%	1802526	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0047-cfDNA-1ng-WK2	0.008769	16%	521359	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0047-cfDNA-1ng-WK4	0.036663	17%	1980884	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0047-cfDNA-1ng-WK8	0.045137	18%	2317751	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0047-cfDNA-2ng-WK28	0.035269	17%	2046191	2	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0047-cfDNA-3ng-WK36	0.058562	20%	2971294	3	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0047-cfDNA-6ng-WK32	0.056804	34%	1689217	6	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0048-cfDNA-1ng-D0	0.01637	18%	952278	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0048-cfDNA-1ng-WK2	0.040121	16%	2283349	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0048-cfDNA-1ng-WK4	0.040581	17%	2222591	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0048-cfDNA-1ng-WK8	0.02308	23%	988550	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0049-cfDNA-1ng-D0	0.038283	18%	2005299	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0049-cfDNA-1ng-WK2	0.048179	17%	2574688	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0049-cfDNA-1ng-WK4	0.0543	17%	2853720	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0049-cfDNA-1ng-WK8	0.032451	26%	1268813	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0050-cfDNA-10ng-WK48	0.054334	19%	2850907	10	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0050-cfDNA-1ng-D0	0.036468	15%	2493214	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0050-cfDNA-1ng-WK2	0.02914	17%	1663737	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0050-cfDNA-1ng-WK4	0.05176	16%	2988088	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0050-cfDNA-1ng-WK44	0.032335	17%	1810797	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0050-cfDNA-1ng-WK48	0.027633	22%	1254324	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0050-cfDNA-1ng-WK8	0.068644	18%	3581792	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0050-cfDNA-2ng-WK2	0.047847	23%	2188367	2	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0050-cfDNA-2ng-WK40	0.05071	18%	2846227	2	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0050-cfDNA-3ng-D0	0.045269	14%	3144593	3	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0050-cfDNA-3ng-WK8	0.061685	20%	3101762	3	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0050-cfDNA-8ng-WK4	0.05055	21%	2320675	8	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0051-cfDNA-10ng-WK32	0.050199	28%	1741373	10	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0051-cfDNA-1ng-D0	0.070017	20%	3706171	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0051-cfDNA-1ng-WK2	0.030848	21%	1557584	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0051-cfDNA-1ng-WK28	0.045805	23%	2100164	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0051-cfDNA-1ng-WK32	0.038337	21%	1863705	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0051-cfDNA-1ng-WK36	0.043664	19%	2350057	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0051-cfDNA-1ng-WK4	0.045962	20%	2213409	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0051-cfDNA-1ng-WK8	0.01182	21%	601304	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0051-cfDNA-4ng-WK28	0.060352	20%	3023392	4	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0051-cfDNA-4ng-WK8	0.042791	23%	1876746	4	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0051-cfDNA-5ng-WK36	0.054216	23%	2331876	5	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0051-cfDNA-5ng-WK4	0.047304	21%	2092154	5	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0054-cfDNA-1ng-D0	0.021708	23%	1051901	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0054-cfDNA-1ng-WK2	0.064882	18%	3214027	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0054-cfDNA-1ng-WK4	0.083582	18%	4580522	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0054-cfDNA-1ng-WK8	0.054371	19%	2787180	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0054-cfDNA-4ng-WK16	0.051267	22%	2349093	4	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0054-cfDNA-5ng-WK12	0.065079	21%	3150044	5	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0055-cfDNA-10ng-WK12	0.083005	21%	3965414	10	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0055-cfDNA-1ng-D0	0.043546	20%	2424375	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0055-cfDNA-1ng-WK2	0.05215	20%	2523575	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0055-cfDNA-1ng-WK4	0.046651	16%	2871674	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0055-cfDNA-1ng-WK8	0.033706	21%	1609956	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0056-cfDNA-1ng-D0	0.011088	21%	571881	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0056-cfDNA-1ng-WK16	0.069059	19%	3485492	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0056-cfDNA-1ng-WK2	0.039	17%	2408693	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0056-cfDNA-1ng-WK20	0.067254	17%	4001705	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0056-cfDNA-1ng-WK4	0.108887	19%	5220351	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0056-cfDNA-1ng-WK8	0.052564	24%	2305496	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0058-cfDNA-1ng-D0	0.036972	17%	2430621	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0058-cfDNA-1ng-WK2	0.008851	17%	513570	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0058-cfDNA-1ng-WK4	0.091434	22%	4299625	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0058-cfDNA-1ng-WK8	0.040554	23%	1821275	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0058-cfDNA-2ng-WK12	0.056047	26%	2269868	2	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0058-cfDNA-2ng-WK16	0.049605	19%	2590484	2	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0059-cfDNA-10ng-D0	0.03916	17%	2223988	10	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0059-cfDNA-1ng-D0	0.046416	17%	2631779	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0059-cfDNA-1ng-WK2	0.051128	19%	2743716	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0059-cfDNA-1ng-WK20	0.027221	21%	1325669	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0059-cfDNA-1ng-WK24	0.04938	18%	2641498	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0059-cfDNA-1ng-WK4	0.045405	19%	2314587	1	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0059-cfDNA-6ng-WK24	0.05219	19%	2733664	6	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
T-OS-0060-cfDNA-10ng-WK2	0.040797	22%	1863464	10	TCSVM Comparative Pathology and Genomics Resource	NextSeq 2000
