ID	Sample_ID	Cohort	Date.of.CBC	WBC	RBC	Hemoglobin	Hematocrit	MCV	MCH	MCHC	RDW	Platelet.count	Mean.Platelet.volume	Reticulocyte.count	Absolute.reticulocyte.count	Comments	Seg.Neuts	Lymphocytes	Monocytes	Eosinophils	Basophils	Band.Neuts	Other.	Nucleated.RBC	Absolute.Seg.Neutrophils	Absolute.Lymphs	Absolute.Mono	Absolute.Eos	Absolute.Baso	Absolute.Band.Neutro	WBC.Morphology.Comments	RBC.Comments	Other.comments	Time.of.CBC	Other	Acanthocytes	Anisocytosis	echinocytes	Howell.jolly.bodies	keratocytes	schistocytes	Lipemia	Hemolysis						
DLBCL-38	U01-DLBCL-38-09-T-RVKPT-D7	LSA_U01_treatment_cohort_2	10/23/20	6.77	6.15	14	43	69.3	22.8	32.9	14.5	365	8.9	0.6	36.6	few platelet clumps present	74	20	3	3	Not applicable	Not applicable	NA	Not applicable	NA	1.35	0.2	0.2	NA	NA	NA	NA	NA	NA	Not applicable	NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-38	U01-DLBCL-38-09-T-RVKPT-D21	LSA_U01_treatment_cohort_2	11/6/20	10.59	6.49	15.1	45	69.3	23.3	33.6	14	449	9.4	2.36	153.1	"hemolysis, lipemia present"	80	15	2	3	Not applicable	Not applicable	NA	Not applicable	NA	1.59	0.21	0.32	NA	NA	NA	NA	NA	NA	Not applicable	NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-38	U01-DLBCL-38-09-T-RVKPT-Pre-Relapse	LSA_U01_treatment_cohort_2	3/11/21	8.71	7.88	15.6	50	62.8	19.8	31.5	17.5	377	11	1.52	119.8	Not applicable	88	2	6	4	Not applicable	Not applicable	NA	2	NA	0.17	0.52	0.35	NA	NA	NA	NA	NA	NA	Not applicable	NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-38	U01-DLBCL-38-09-T-RVKPT-Relapse	LSA_U01_treatment_cohort_2	4/8/21	8.77	7.45	15.1	47	62.6	20.3	32.4	17	388	9.6	1.39	103.7	(Hematology) Lipemia present	89	3	7	1	Not applicable	Not applicable	NA	2	NA	0.26	0.61	0.09	NA	NA	NA	NA	NA	NA	Not applicable	NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-31	U01-DLBCL-31-10-T-RVKPT-D7	LSA_U01_treatment_cohort_2	11/9/20	3.04	4.8	11.4	34	70	23.8	33.9	13.8	166	10.6	0.13	6.5	Not applicable	49	47	1	3	Not applicable	Not applicable	NA	Not applicable	NA	1.43	0.03	0.09	NA	NA	NA	NA	NA	NA	Not applicable	NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-31	U01-DLBCL-31-10-T-RVKPT-D21	LSA_U01_treatment_cohort_2	11/23/20	4.3	4.98	11.1	34	68.8	22.3	32.4	14.5	155	15.1	0.76	37.6	prev cbc not valid	73	25	2	Not applicable	Not applicable	Not applicable	NA	Not applicable	NA	1.08	0.09	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-34	U01-DLBCL-34-12-T-RVKPT-D7	LSA_U01_treatment_cohort_2	3/1/21	4.83	6.28	15.5	47	74.3	24.7	33.3	13.8	261	12	0.49	31	lipemia present	71	19	6	4	Not applicable	Not applicable	NA	Not applicable	NA	0.92	0.29	0.19	NA	NA	NA	NA	NA	NA	Not applicable	NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-34	U01-DLBCL-34-12-T-RVKPT-D21	LSA_U01_treatment_cohort_2	3/29/21	5.18	7	17.4	53	75.3	24.9	33	13.3	266	9.2	0.98	68.9	Not applicable	64	24	3	9	Not applicable	Not applicable	NA	Not applicable	NA	1.24	0.16	0.47	NA	NA	NA	NA	NA	NA	Not applicable	NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-34	U01-DLBCL-34-12-T-RVKPT-Relapse	LSA_U01_treatment_cohort_2	8/11/21	5.95	6.11	14.8	45	73.6	24.2	32.9	12.5	243	12.1	0.62	38.1	(Hematology) Lipemia present	70	16	7	7	Not applicable	Not applicable	NA	1	NA	0.95	0.42	0.42	NA	NA	NA	NA	NA	NA	Not applicable	NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-35	U01-DLBCL-35-13-T-RVKPT-D7	LSA_U01_treatment_cohort_2	11/16/20	5.99	5.78	13.5	42	72.1	23.4	32.5	12.3	304	11.1	0.08	4.5	lipemia present	56	34	2	8	Not applicable	Not applicable	NA	Not applicable	NA	2.04	0.12	0.48	NA	NA	NA	NA	NA	NA	Not applicable	NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-35	U01-DLBCL-35-13-T-RVKPT-D21	LSA_U01_treatment_cohort_2	11/30/20	10.14	5.99	14.4	43	71.9	24	33.4	13.9	365	9.5	1.23	73.4	"10-25 platelets per 100x field (estimated count of 200,000-500,000/ul"	75	18	2	5	Not applicable	Not applicable	NA	Not applicable	NA	1.83	0.2	0.51	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-35	U01-DLBCL-35-13-T-RVKPT-Pre-Relapse	LSA_U01_treatment_cohort_2	1/19/22	8.98	6.13	15.2	43	70.7	24.8	35.1	12.9	328	9.1	0.68	41.8	"lipemia present, hemolysis present"	73	22	1	4	Not applicable	Not applicable	NA	Not applicable	NA	1.98	0.09	0.36	NA	NA	NA	NA	NA	NA	Not applicable	NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-37	U01-DLBCL-37-14-T-RVKPT-D7	LSA_U01_treatment_cohort_2	11/17/20	6.23	6.15	14.4	43	70.1	23.4	33.4	13.7	359	9.1	0.12	7.5	"10-25 platelets per 100x field (estimated count of 200,000-500,000/ul)"	73	22	3	2	Not applicable	Not applicable	NA	Not applicable	NA	1.37	0.19	0.12	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-37	U01-DLBCL-37-14-T-RVKPT-D21	LSA_U01_treatment_cohort_2	12/1/20	9.42	6.53	15.4	46	70.5	23.6	33.5	14.6	433	10.5	1.54	100.7	"10-25 platelets per 100x field (estimated count of 200,000-500,000/ul)"	64	26	2	8	Not applicable	Not applicable	NA	Not applicable	NA	2.45	0.19	0.75	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-37	U01-DLBCL-37-14-T-RVKPT-Pre-Relapse	LSA_U01_treatment_cohort_2	4/27/21	7.72	7.56	16.2	48	63.2	21.4	34	15.5	324	9.7	0.55	41.9		77	16	4	3	Not applicable	Not applicable	NA	Not applicable	NA	1.24	0.31	0.23	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-37	U01-DLBCL-37-14-T-RVKPT-Relapse	LSA_U01_treatment_cohort_2	5/25/21	7.01	6.63	14.8	43	64.4	22.3	34.7	17.7	314	10.9	1.18	78.3	(Hematology) Lipemia present	74	15	1	10	Not applicable	Not applicable	NA	1	NA	1.05	0.07	0.7	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-39	U01-DLBCL-39-01-T-DOXTAK-D0	LSA_U01_treatment_cohort_2	11/25/20	6.91	6.3	14.1	44	69.3	22.4	32.3	13.7	306	9.8	1.51	95.4	Clumps of WBCs are present (leukergy) - this may affect the accuracy of the WBC andor the differential counts .	85	6	1	8			NA		5.874	0.41	0.07	0.55	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-39	U01-DLBCL-39-01-T-DOXTAK-D7	LSA_U01_treatment_cohort_2	12/2/20	1.95	5.49	12.3	37	67.9	22.4	33.1	13.1	41	13.7	0.06	3.4	"Slight Platelet clumping present. Platelet estimate and/or platelet count may be affected. Platelet Crit is invalid when platelet clumping is present with the Advia platelet methodology. 3-5 plts per 100x field (estimated platelet count of 45,000-100,000/ul)"	79	17	1	6			NA		1.482	0.33	0.02	0.12	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-39	U01-DLBCL-39-01-T-DOXTAK-D21	LSA_U01_treatment_cohort_2	12/16/20	4.55	6.05	13.2	41	67.4	21.8	32.4	14.3	406	9.4	1.06	64	"10-25 platelets per 100x field (estimated count of 200,000-500,000/ ul),Platelet clumping present. Platelet estimate and/or platelet count may be affected. Platelet Crit is invalid when platelet clumping is present with the Advia platelet methodology."	71	16	6	7			NA		3.231	0.73	0.27	0.32	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-39	U01-DLBCL-39-01-T-DOXTAK-Pre-Relapse	LSA_U01_treatment_cohort_2	2/3/21	5.81	6.34	14.2	43	68.1	22.4	32.9	16	414	9.3	1.14	72.3	"Slight Platelet clumping present. Platelet estimate and/or platelet count may be affected. Platelet Crit is invalid when platelet clumping is present with the Advia platelet methodology.,10-25 platelets per 100x field (estimated count of 200,000-500,000/ul)"	88	7	2	3			NA		5.113	0.41	0.12	0.17	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-39	U01-DLBCL-39-01-T-DOXTAK-Relapse	LSA_U01_treatment_cohort_2	3/3/21	4.89	6.55	14.4	45	68.1	22	32.3	15.4	325	9.6	0.78	51.4	Lipemia present	87	6	3	4			NA		4.254	0.29	0.15	0.2	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-41	U01-DLBCL-41-02-T-DOXTAK-D0	LSA_U01_treatment_cohort_2	2/23/21	20.62	5.52	13.4	42	75.7	24.3	32.1	16.2	436	10.1	4.68	258		82	13	4	1			NA	1	16.908	2.68	0.82	0.21	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-41	U01-DLBCL-41-02-T-DOXTAK-D7	LSA_U01_treatment_cohort_2	3/2/21	10.6	5.39	14.4	40	74.6	26.7	35.8	13.8	392	11.1	0.7	37.5		76	11	5	8			NA	5	8.056	1.17	0.53	0.85	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-41	U01-DLBCL-41-02-T-DOXTAK-D21	LSA_U01_treatment_cohort_2	3/16/21	5.76	6.74	16.2	50	73.5	24	32.7	13.8	487	10.4	1.76	118.3	(Hematology) Lipemia present	74	17	2	7			NA		4.262	0.98	0.12	0.4	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-41	U01-DLBCL-41-02-T-DOXTAK-Pre-Relapse	LSA_U01_treatment_cohort_2	5/4/21	8.22	7.34	17.2	51	70	23.4	33.5	15.1	406	10.6	1.82	133.4	(Hematology) Hemolysis present Lipemia present	85	3	2	10			NA		6.987	0.25	0.16	0.82	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-41	U01-DLBCL-41-02-T-DOXTAK-Relapse	LSA_U01_treatment_cohort_2	6/1/21	7.41	7.13	17.2	49	69.2	24.1	34.9	14.4	267	8.8	0.99	70.9	(Chemistry) Slight lipemia	82	9	2	7			NA	1	6.076	0.67	0.15	0.52	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-40	U01-DLBCL-40-03-T-DOXTAK-D0	LSA_U01_treatment_cohort_2	3/9/21	6.42	6.17	13.4	40	65.2	21.7	33.3	14.1	251	11	1.67	103.1		85	10	2	3			NA		5.457	0.64	0.13	0.19	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-40	U01-DLBCL-40-03-T-DOXTAK-D7	LSA_U01_treatment_cohort_2	3/17/21	3.39	5.73	13.3	37	64.8	23.2	35.8	13.2	195	12.7	0.44	25.3	Lipemia present	65	16	10	9			NA	27	2.204	0.54	0.34	0.31	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-40	U01-DLBCL-40-03-T-DOXTAK-D21	LSA_U01_treatment_cohort_2	3/31/21	10.78	6.04	13.7	40	66.1	22.7	34.3	15.3	378	11.1	2.64	159.1	Lipemia present	75	11	4	10			NA		8.085	1.19	0.43	1.08	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-42	U01-DLBCL-42-04-T-DOXTAK-D0	LSA_U01_treatment_cohort_2	3/12/21	18.6	4.61	11.2	36	77.7	24.3	31.3	15.5	251	12.2	2.79	128.8		91	1	5			3	NA	5	16.926	0.19	0.93	NA	NA	0.56	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-42	U01-DLBCL-42-04-T-DOXTAK-D7	LSA_U01_treatment_cohort_2	3/19/21	4.68	4.72	12.1	37	78.8	25.6	32.5	15.5	388	15.5	1.57	74.2		69	23	7	1			NA	17	3.229	1.08	0.33	0.05	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-42	U01-DLBCL-42-04-T-DOXTAK-D21	LSA_U01_treatment_cohort_2	4/2/21	6.78	5.19	13.4	41	79	25.8	32.7	15.5	578	11.3	5.13	266.2	"Hemolysis present,Lipemia present"	85	7	4	4			NA		5.763	0.47	0.27	0.27	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-42	U01-DLBCL-42-04-T-DOXTAK-Pre-Relapse	LSA_U01_treatment_cohort_2	9/8/21	3.91	5.42	13.7	40	73.8	25.3	34.3	15.3	189	10.4	1.96	106.2		84	11	4			1	NA	4	3.284	0.43	0.16	NA	NA	0.04	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-42	U01-DLBCL-42-04-T-DOXTAK-Relapse	LSA_U01_treatment_cohort_2	10/7/21	6.06	5.31	13.2	40	75.3	24.9	33.1	14.6	233	11.3	1.64	86.8		76	21	3				NA	1	4.606	1.27	0.18	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-44	U01-DLBCL-44-05-T-DOXTAK-D7	LSA_U01_treatment_cohort_2	4/5/21	2.63	6.38	15.3	45	70	24	34.3	13.6	53	16.4	0.09	5.8	"Lipemia present Rare platelet clump present. Platelet estimate and/or platelet count may be affected. Platelet Crit is invalid when platelet clumping is present with the Advia platelet methodology. 3-5 plts per 100x field (estimated platelet count of 45,000-100,000/ul)"	72	7	15	6			NA		1.894	0.18	0.39	0.16	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-44	U01-DLBCL-44-05-T-DOXTAK-D21	LSA_U01_treatment_cohort_2	4/21/21	6.26	7.27	17.3	51	70.3	23.8	33.9	15	225	14.8	1.23	89.5	(Hematology) Lipemia present	91	6	3				NA	3	5.697	0.38	0.19	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-44	U01-DLBCL-44-05-T-DOXTAK-Pre-Relapse	LSA_U01_treatment_cohort_2	2/7/22	4.47	8.12	19.5	57	70.7	24	34	14.4	168	14.1	1.08	86.6	Comments (Hematology) Lipemia present	82	9	8	1			NA	2	3.665	0.4	0.36	0.04	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-43	U01-DLBCL-43-06-T-DOXTAK-D0	LSA_U01_treatment_cohort_2	3/30/21	4.56	6.59	16.7	51	77	25.3	32.9	13.4	178	12	1.39	91.3	(Hematology) Lipemia present	68	20	5	7			NA		3.101	0.91	0.23	0.32	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-43	U01-DLBCL-43-06-T-DOXTAK-D7	LSA_U01_treatment_cohort_2	4/9/21	4.06	5.67	14	43	75	24.7	32.9	12.8	103	14.4	0.95	54.1	"Slight Platelet clumping present. Platelet estimate and/or platelet count may be affected. Platelet Crit is invalid when platelet clumping is present with the Advia platelet methodology.,6-9 plts per 100x field (estimated count of 90,000-180,000/ul). lipemia present"	89	5	6				NA	17	3.613	0.2	0.24	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-43	U01-DLBCL-43-06-T-DOXTAK-D21	LSA_U01_treatment_cohort_2	4/22/21	5.47	5.81	14.6	44	74.8	25.1	33.6	13.6	216	11.1	1.75	101.8	(Hematology) Lipemia present	91	2	3	4			NA	2	4.978	0.11	0.16	0.22	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-43	U01-DLBCL-43-06-T-DOXTAK-Pre-Relapse	LSA_U01_treatment_cohort_2	1/20/22	5.9	6.61	16.4	50	75.4	24.8	32.9	13.9	195	10.9	1.17	77.5	Comments (Hematology) Lipemia present	81	12	2	5			NA	1	4.779	0.71	0.12	0.3	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-43	U01-DLBCL-43-06-T-DOXTAK-Relapse	LSA_U01_treatment_cohort_2	2/8/22	5.76	6.4	16.3	48	74.9	25.5	34	14	237	10.9	1.18	75.7		79	7	6	8			NA	1	4.55	0.4	0.35	0.46	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-45	U01-DLBCL-45-07-T-DOXTAK-D0	LSA_U01_treatment_cohort_2	4/16/21	18.44	6.26	14.8	46	73.9	23.6	32	13.9	136	11.4	1.1	68.7	"Sent for pathologist review of differential and lymphocytes. PRELIMINARY: Absolute neutrophil estimate = 12,000."	71	5	6				NA		13.092	0.92	1.11	NA	NA	NA	NA	NA	NA	NA	18	NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-45	U01-DLBCL-45-07-T-DOXTAK-D7	LSA_U01_treatment_cohort_2	4/26/21	7.86	5.46	13.4	40	73	24.5	33.7	13.3	517	10.5	0.32	17.6	"lipemia present, slight platelet clumping present"	69	20	7	4			NA		5.423	1.57	0.55	0.31	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-46	U01-DLBCL-46-08-T-DOXTAK-D0	LSA_U01_treatment_cohort_2	4/30/21	13.03	6.22	14.9	45	72.2	24	33.2	14.1	173	13	2.68	166.6		83	9	8				NA	3	10.815	1.17	1.04	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-46	U01-DLBCL-46-08-T-DOXTAK-D7	LSA_U01_treatment_cohort_2	5/7/21	4.76	5.72	13.9	41	71.2	24.3	34.1	13.2	162	14	0.41	23.5	(Hematology) Lipemia present	72	8	11	9			NA	1	3.427	0.38	0.52	0.43	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-46	U01-DLBCL-46-08-T-DOXTAK-D21	LSA_U01_treatment_cohort_2	5/21/21	10.47	6.27	15.9	45	71.2	25.4	35.7	14.8	374	9.8	3.04	190.2	"(Hematology) Lipemia present,Hemolysis present"	89	5	3	3			NA	3	9.318	0.52	0.31	0.31	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-46	U01-DLBCL-46-08-T-DOXTAK-Pre-Relapse	LSA_U01_treatment_cohort_2	10/22/21	7.98	6.98	17.2	48	68.7	24.6	35.9	14.4	269	10.6	1.73	120.8	"Comments (Hematology) Hemolysis present,Lipemia present"	85	14	1				NA	1	6.783	1.12	0.08	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-46	U01-DLBCL-46-08-T-DOXTAK-Relapse	LSA_U01_treatment_cohort_2	11/16/21	9.89	7.23	18.3	51	70.9	25.3	35.7	14	371	9.9	1.8	130.3	"Comments (Hematology) Hemolysis present,Lipemia present"	83	12	2	3			NA	5	8.209	1.19	0.2	0.3	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-47	U01-DLBCL-47-09-T-DOXTAK-D0	LSA_U01_treatment_cohort_2	5/11/21	5.11	6.99	16.8	51	72.4	24	33.2	13.9	201	13.3	1.14	79.5	"(Hematology) Sent for pathologist review of lymphocytes. PRELIMINARY absolute neutrophil estimate = 3,500,Lipemia present"	74	7	6	5			NA		3.781	0.36	0.31	0.26	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-47	U01-DLBCL-47-09-T-DOXTAK-D7	LSA_U01_treatment_cohort_2	5/18/21	2.4	6.49	15.9	46	71.5	24.5	34.3	13.2	112	14.3	0.23	15.1	(Hematology) Lipemia present	64	16	13	7			NA		1.536	0.38	0.31	0.17	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-47	U01-DLBCL-47-09-T-DOXTAK-D21	LSA_U01_treatment_cohort_2	6/1/21	6.78	6.88	16.4	49	71.2	23.8	33.5	14.8	313	10.8	1.48	101.9	(Hematology) Lipemia present	88	7	5				NA		5.966	0.47	0.34	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-47	U01-DLBCL-47-09-T-DOXTAK-Pre-Relapse	LSA_U01_treatment_cohort_2	11/9/21	5.35	6.67	16.2	46	69.4	24.3	35	15.4	263	11.1	0.72	48.1	Comments (Hematology) Lipemia present	83	7	7	3			NA		4.441	0.37	0.37	0.16	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-47	U01-DLBCL-47-09-T-DOXTAK-Relapse	LSA_U01_treatment_cohort_2	12/1/21	7.66	6.44	15.4	46	71.8	23.9	33.3	14.5	339	11.3	2.15	138.7		88	6	4	2			NA		6.741	0.46	0.31	0.15	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-48	U01-DLBCL-48-10-T-DOXTAK-D0	LSA_U01_treatment_cohort_2	5/18/21	11.14	6.09	14.3	43	71.2	23.5	33	14.1	121	12.2	1.21	73.8	No morphologic abnormalities	91	5	4				NA		10.137	0.56	0.45	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-48	U01-DLBCL-48-10-T-DOXTAK-D7	LSA_U01_treatment_cohort_2	5/26/21	3.87	5.18	11.9	37	70.7	23	32.5	13.8	98	14.5	0.41	21.3	"6-9 plts per 100x field (estimated count of 90,000-180,000/ ul),Occasional large platelets present"	59	14	10	17			NA	4	2.283	0.54	0.39	0.66	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-48	U01-DLBCL-48-10-T-DOXTAK-D21	LSA_U01_treatment_cohort_2	6/9/21	5.83	6.23	14.2	44	69.9	22.8	32.6	15	185	11.5	2.17	135.3	slight platelet clumping present	80	9	5	6			NA		4.664	0.52	0.29	0.35	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-48	U01-DLBCL-48-10-T-DOXTAK-Relapse	LSA_U01_treatment_cohort_2	6/30/21	13.04	6.13	13.7	38	62.6	22.3	35.7	19	340	13.1	NA	112.2	procyte	91	7	2				NA		11.866	0.91	0.26	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-49	U01-DLBCL-49-11-T-DOXTAK-D0	LSA_U01_treatment_cohort_2	5/20/21	5.27	6.76	16.3	48	71.3	24.1	33.8	13.6	373	9.6	1.03	69.7	"Occasional platelet clumping present. Platelet estimate and/or platelet count may be affected. Platelet Crit is invalid when platelet clumping is present with the Advia platelet methodology. 10-25 platelets per 100x field (estimated count of 200,000-500,000/ul)"	60	32	5	3			NA	1	3.162	1.69	0.26	0.16	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-49	U01-DLBCL-49-11-T-DOXTAK-D7	LSA_U01_treatment_cohort_2	5/27/21	3.42	6.13	14.7	43	70.2	24	34.2	13.1	229	11.5	0.21	12.7		54	34	7	4		1	NA	3	1.847	1.16	0.24	0.14	NA	0.03	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-49	U01-DLBCL-49-11-T-DOXTAK-D21	LSA_U01_treatment_cohort_2	6/10/21	9.79	6.53	15.2	46	70.9	23.3	32.8	13.8	485	11.2	2.33	152.1		78	14	8				NA		7.636	1.37	0.78	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-49	U01-DLBCL-49-11-T-DOXTAK-Pre-Relapse	LSA_U01_treatment_cohort_2	7/29/21	6.39	7.18	16.4	50	69	22.8	33.1	14.2	393	10.3	1.24	88.9	"Comments (Hematology) Sent for pathologist review of lymphocytes,Lipemia present"	78	12	7	3			NA		4.984	0.77	0.45	0.19	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
DLBCL-49	U01-DLBCL-49-11-T-DOXTAK-Relapse	LSA_U01_treatment_cohort_2	8/26/21	5.69	7.68	18	51	66.6	23.4	35.2	14	254	11.4	0.34	26		83	12	3	2			NA		4.723	0.68	0.17	0.11	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA						
T-OS-0042	T-OS-0042-cfDNA-10ng-WK4	OS_Longitudinal	1/18/22	6.35	6.99	15.1	46	65.2	21.6	33.1	14.8	462	9	0.55	38.6		60	29	4	7	NA	NA		NA	3.81	1.84	0.25	0.44	NA	NA				NA	NA	NA	NA	NA	NA	NA	NA	NA							
T-OS-0042	T-OS-0042-cfDNA-1ng-D0	OS_Longitudinal	12/14/21	7.55	6.78	14.7	44	65.4	21.7	33.2	12.9	357	11.3	0.72	48.5		70	21	4	5	NA	NA		NA	5.285	1.59	0.3	0.38	NA	NA				NA	NA	NA	NA	NA	NA	NA	NA	NA							
T-OS-0042	T-OS-0042-cfDNA-1ng-WK2	OS_Longitudinal	1/4/22	5.71	5.46	11.6	35	64	21.2	33.2	13.1	241	10.4	0.19	10.4		73	18	3	6	NA	NA		NA	4.168	1.03	0.17	0.34	NA	NA				NA	NA	NA	NA	NA	NA	NA	NA	NA							
T-OS-0042	T-OS-0042-cfDNA-1ng-WK4	OS_Longitudinal	1/18/22	6.35	6.99	15.1	46	65.2	21.6	33.1	14.8	462	9	0.55	38.6		60	29	4	7	NA	NA		NA	3.81	1.84	0.25	0.44	NA	NA				NA	NA	NA	NA	NA	NA	NA	NA	NA							
T-OS-0042	T-OS-0042-cfDNA-1ng-WK8	OS_Longitudinal	2/22/22	6.18	6.16	13.5	40	65.6	21.9	33.4	16.9	386	11.1	1.92	118.3		79	15	2	4	NA	NA		NA	4.882	0.93	0.12	0.25	NA	NA				NA	NA	NA	NA	NA	NA	NA	NA	NA							
T-OS-0042	T-OS-0042-cfDNA-2ng-WK8	OS_Longitudinal	2/22/22	6.18	6.16	13.5	40	65.6	21.9	33.4	16.9	386	11.1	1.92	118.3		79	15	2	4	NA	NA		NA	4.882	0.93	0.12	0.25	NA	NA				NA	NA	NA	NA	NA	NA	NA	NA	NA							
T-OS-0042	T-OS-0042-cfDNA-5ng-WK2	OS_Longitudinal	1/4/22	5.71	5.46	11.6	35	64	21.2	33.2	13.1	241	10.4	0.19	10.4		73	18	3	6	NA	NA		NA	4.168	1.03	0.17	0.34	NA	NA				NA	NA	NA	NA	NA	NA	NA	NA	NA							
T-OS-0045	T-OS-0045-cfDNA-1ng-D0	OS_Longitudinal	2/24/22	6.44	7.96	18.2	54	68	22.9	33.6	14.1	178	11.8	0.83	66.2		79	16	4	1	NA	NA		NA	5.088	1.03	0.26	0.06	NA	NA				NA	NA	NA	NA	NA	NA	NA	NA	NA							
